formulation_id,raw_electrolyte_text,cell_type,salt_name,salt_name_2,salt_name_3,salt_concentration_m,salt_concentration_2_m,salt_concentration_3_m,anion_name,solvent_1,solvent_1_fraction,solvent_2,solvent_2_fraction,solvent_3,solvent_3_fraction,additive_1,additive_1_fraction,additive_2,additive_2_fraction,n_conditions,ce_mean_min,ce_mean_max,current_density_min_ma_cm2,current_density_max_ma_cm2,areal_capacity_min_mah_cm2,areal_capacity_max_mah_cm2,notes,references
1_5_m_liasf6_pc,1.5 M LiAsF6-PC,Li|Cu,LiAsF6,,,1.5,,,AsF6,PC,1.0,,,,,,,,,1,85.0,85.0,1.0,1.0,1.0,1.0,unsupported_species:AsF6,"Aurbach, D. & Zaban, A. Impedance spectroscopy of lithium electrodes: Part 1. General behavior in propylene carbonate solutions and the correlation to surface chemistry and cycling efficiency. J. Electroanal. Chem. 348, 155–179 (1993)."
1_m_libeti_ec_dmc_1_1_v_2_vc,1 M LiBETI EC-DMC (1:1 v) 2% VC,Li|Cu,LiBETI,,,1.0,,,BETI,EC,0.5,DMC,0.5,VC,0.02,,,,,1,86.0,86.0,0.6,0.6,0.44,0.44,unsupported_species:BETI|VC,"Ota, H., Shima, K., Ue, M. & Yamaki, J. Effect of vinylene carbonate as additive to electrolyte for lithium metal anode. Electrochim. Acta 49, 565–572 (2004)."
1_m_libf4_ec_dmc_1_1_v_2_vc,1 M LiBF4 EC-DMC (1:1 v) 2% VC,Li|Cu,LiBF4,,,1.0,,,BF4,EC,0.5,DMC,0.5,VC,0.02,,,,,1,80.0,80.0,0.6,0.6,0.44,0.44,unsupported_species:VC,"Ota, H., Shima, K., Ue, M. & Yamaki, J. Effect of vinylene carbonate as additive to electrolyte for lithium metal anode. Electrochim. Acta 49, 565–572 (2004)."
1_m_liclo4_pc_5_fec,1 M LiClO4-PC + 5% FEC,Li|Cu,LiClO4,,,1.0,,,ClO4,PC,1.0,FEC,0.05,EC,,,,,,1,80.0,80.0,0.5,0.5,0.083,0.083,unsupported_species:ClO4,"Mogi, R. et al. Effects of Some Organic Additives on Lithium Deposition in Propylene Carbonate. J. Electrochem. Soc. 149, A1578 (2002)."
1_m_liclo4_ec_es_1_1_vol,1 M LiClO4 EC-ES (1:1 vol),Li|Cu,LiClO4,,,1.0,,,ClO4,EC,0.5,,0.5,,,,,,,1,97.0,97.0,0.5,0.5,0.5,0.5,unknown_tokens:ES;unsupported_species:ClO4,"Zhang, Y. et al. Solvent Molecule Cooperation Enhancing Lithium Metal Battery Performance at Both Electrodes. Angew. Chemie Int. Ed. 59, 7797–7802 (2020)."
1_m_lidfob_ec_dec_3_7_wt,1 M LiDFOB EC-DEC (3:7 wt),Li|Cu,LiDFOB,,,1.0,,,DFOB,EC,0.2404438964241677,DEC,0.7595561035758323,,,,,,,1,95.0,95.0,0.1,0.1,0.1,0.1,,"Schedlbauer, T. et al. Lithium difluoro(oxalato)borate: A promising salt for lithium metal based secondary batteries? Electrochim. Acta 92, 102–107 (2013)."
1m_lifsi_ec_dec_v_1_1,1M LiFSI EC/DEC (v 1:1),Li|Cu,LiFSI,,,1.0,,,FSI,EC,0.5,DEC,0.5,,,,,,,1,93.0,93.0,0.5,0.5,1.0,1.0,,
1_m_lifsi_in_tetraglyme,1 M LiFSI in tetraglyme,Li|Cu,LiFSI,,,1.0,,,FSI,,1.0,,,,,,,,,1,94.0,94.0,0.1,0.1,0.2,0.2,unknown_tokens:IN|TETRAGLYME,"Amanchukwu, C. V. et al. A New Class of Ionically Conducting Fluorinated Ether Electrolytes with High Electrochemical Stability. J. Am. Chem. Soc. 142, 7393–7403 (2020)."
0_1m_lidfp_0_4m_lifsi_ec_dmc_3_7_v_v,0.1M LiDFP 0.4M LiFSI EC-DMC (3:7 v/v),Li|Cu,LiFSI,,,0.1,0.4,,FSI,EC,0.3,DMC,0.7,,,,,,,1,94.5,94.5,0.4,0.4,0.8,0.8,unknown_tokens:LIDFP,"Zheng, H. et al. Lithium Difluorophosphate-Based Dual-Salt Low Concentration Electrolytes for Lithium Metal Batteries. Adv. Energy Mater. 10, 2001440 (2020)."
1_m_lifsi_in_deg_ftrieg,1 M LiFSI in DEG-FTriEG,Li|Cu,LiFSI,,,1.0,,,FSI,,1.0,,,,,,,,,1,95.0,95.0,0.1,0.1,0.2,0.2,unknown_tokens:DEG|FTRIEG|IN,"Amanchukwu, C. V. et al. A New Class of Ionically Conducting Fluorinated Ether Electrolytes with High Electrochemical Stability. J. Am. Chem. Soc. 142, 7393–7403 (2020)."
